upc,date_adj,haspromo,units_adj
8000050026489,20210708,0,0
81582901006,20210708,0,0
7240008060,20210708,0,0
85000867808,20210708,0,0
7059460138,20210708,0,0
70942181178,20210708,0,0
5201010103056,20210708,0,0
7005735161,20210708,0,0
72649316242,20210708,0,0
4525511848,20210708,0,0
7800000911,20210708,0,0
25089600000,20210708,0,0
8517800068,20210708,0,0
4138809701,20210708,0,0
7506226026,20210708,0,0
85983600385,20210708,0,0
61930910111,20210708,0,0
3384400393,20210708,0,0
3010011233,20210708,0,0
9370930110,20210708,0,0
2391315942,20210708,0,0
8992453249,20210708,0,0
84654802077,20210708,0,0
20669000000,20210708,0,0
1200017149,20210708,0,0
4900004713,20210708,0,0
89618000102,20210708,0,0
3331422222,20210708,0,0
4133102133,20210708,0,0
3680010616,20210708,0,0
1553210110,20210708,0,0
2756806022,20210708,0,0
20093300000,20210708,0,0
84654805999,20210708,0,0
81369502104,20210708,0,0
4118804161,20210708,0,0
8658100760,20210708,0,0
7410880058,20210708,0,0
4012920061,20210708,0,0
4133112741,20210708,0,0
61864531525,20210708,0,0
89632100959,20210708,0,0
20285000000,20210708,0,10
81410001301,20210708,0,8
64857000490,20210708,0,2
7323000033,20210708,0,2
8281591558,20210708,0,10
3732312724,20210708,0,6
3680041554,20210708,0,3
4722307103,20210708,0,1
7702011046932,20210709,0,0
60448500590,20210709,0,0
82058198346,20210709,0,0
3398403720,20210709,1,0
4218702647,20210709,0,0
4154828745,20210709,0,0
60155799248,20210709,0,0
78533177830,20210709,0,0
7506200109,20210709,0,0
4695,20210709,0,0
76777800101,20210709,0,0
70366910920,20210709,0,0
82699804099,20210709,0,0
4116701056,20210709,0,0
74595730150,20210709,0,0
1674100070,20210709,0,0
81594400541,20210709,0,0
76361508580,20210709,0,0
7410003712870,20210709,0,0
2700061216,20210709,0,0
7172008503,20210709,0,0
1816,20210709,0,0
7426502301,20210709,0,0
3800040340,20210709,1,66
1111587132,20210709,0,126
7127910808,20210709,0,39
81029100230,20210709,0,23
4850020183,20210709,0,67
3700077131,20210709,0,18
4133112741,20210709,0,22
4100000271,20210709,0,14
7618300310,20210709,0,67
3114235900,20210709,0,104
27082900000,20210709,0,148
1480058205,20210709,0,81
62,20210709,0,124
1600043779,20210709,1,8
4190007919,20210709,0,26
21483900000,20210709,0,3
3889749111,20210709,0,16
81829001698,20210709,0,50
20748700000,20210709,0,32
4450096650,20210709,0,15
3746608323,20210709,0,12
1115330124,20210709,0,9
84654802077,20210709,0,1
4650076953,20210709,0,12
3620001498,20210709,0,8
7314907470,20210709,0,1
20108500000,20210709,0,25
20521800000,20210709,0,10
3700044980,20210709,0,1
64556901017,20210709,0,3
7778202396,20210709,0,3
4450020181,20210709,0,8
9370930110,20210709,0,1
1115306112,20210709,0,6
4100000890,20210709,0,10
4100073148,20210709,0,11
85123900205,20210709,0,1
81582901006,20210709,0,2
9849313150,20210709,0,2
5833601114,20210709,0,1
7040400117,20210709,0,1
7323000033,20210709,0,5
1200017232,20210709,0,4
1920095871,20210709,0,10
28681700000,20210709,0,8
7910052040,20210709,0,1
5100027655,20210709,0,6
689,20210709,0,21
76738703420,20210709,0,4
60265217058,20210709,0,9
5150000087,20210709,0,5
3000031597,20210709,0,12
3800024383,20210709,0,4
3150000239,20210709,0,6
2558300422,20210709,0,10
1115314850,20210709,0,11
4012920061,20210709,0,1
4900004713,20210709,0,2
1820005989,20210709,0,22
2260022329,20210709,0,2
1450001352,20210709,0,12
85564800637,20210709,0,2
7756728323,20210709,0,7
7431202832,20210709,1,1
5210003639,20210709,0,3
3800078704,20210709,0,12
